央视频道,#genre#
天津卫视,http://111.113.89.3:2000/rtp/239.121.4.72:8406
海南卫视,http://114.254.35.130:18888/rtp/239.3.1.45:8304
海南卫视,http://144.255.16.122:6688/udp/239.21.2.14:5002
海南卫视,http://115.171.216.84:4000/rtp/225.1.8.158:8304
海南卫视,http://115.171.80.79:1688/rtp/225.1.8.158:8304
海南卫视,http://115.171.216.64:4000/rtp/225.1.8.158:8304
海南卫视,http://118.78.196.227:55555/rtp/226.0.2.212:9608
海南卫视,http://223.198.243.214:4000/rtp/239.253.64.253:5140
海南卫视,http://36.49.51.207:8800/rtp/239.37.0.102:5540
海南卫视,http://106.59.2.169:55555/udp/239.200.201.159:8408
新疆卫视,http://114.254.35.130:18888/rtp/239.3.1.48:8160
新疆卫视,http://115.171.216.84:4000/rtp/225.1.8.161:8160
新疆卫视,http://115.171.80.79:1688/rtp/225.1.8.161:8160
新疆卫视,http://115.171.216.64:4000/rtp/225.1.8.161:8160
新疆卫视,http://223.198.243.214:4000/rtp/239.253.64.146:5140
新疆卫视,http://106.59.2.169:55555/rtp/239.200.200.62:8316
云南卫视,http://183.236.43.98:4013/udp/239.253.43.37:5146
云南卫视,http://113.119.25.140:58888/udp/239.253.43.37:5146
云南卫视,http://114.254.35.130:18888/rtp/239.3.1.26:8108
云南卫视,http://115.171.216.84:4000/rtp/225.1.8.139:8108
云南卫视,http://115.171.80.79:1688/rtp/225.1.8.139:8108
云南卫视,http://115.171.216.64:4000/rtp/225.1.8.139:8108
云南卫视,http://223.198.243.214:4000/rtp/239.253.64.147:5140
云南卫视,http://106.59.2.169:55555/rtp/239.200.200.145:8840
西藏卫视,http://114.254.35.130:18888/rtp/239.3.1.47:8164
西藏卫视,http://115.171.216.84:4000/rtp/225.1.8.160:8164
西藏卫视,http://115.171.80.79:1688/rtp/225.1.8.160:8164
西藏卫视,http://115.171.216.64:4000/rtp/225.1.8.160:8164
西藏卫视,http://223.198.243.214:4000/rtp/239.253.64.143:5140
西藏卫视,http://106.59.2.169:55555/rtp/239.200.200.61:8312
兵团卫视,http://114.254.35.130:18888/rtp/239.3.1.144:4120
兵团卫视,http://115.171.216.84:4000/rtp/225.1.8.167:4120
兵团卫视,http://115.171.80.79:1688/rtp/225.1.8.167:4120
兵团卫视,http://115.171.216.64:4000/rtp/225.1.8.167:4120
兵团卫视,http://223.198.243.214:4000/rtp/239.253.64.178:5140
三沙卫视,http://183.236.43.98:4013/udp/239.253.43.113:5146
三沙卫视,http://113.119.25.140:58888/udp/239.253.43.113:5146
三沙卫视,http://114.254.35.130:18888/rtp/239.3.1.155:4120
三沙卫视,http://115.171.216.84:4000/rtp/225.1.8.78:4120
三沙卫视,http://115.171.80.79:1688/rtp/225.1.8.78:4120
三沙卫视,http://115.171.216.64:4000/rtp/225.1.8.78:4120
三沙卫视,http://106.59.2.169:55555/rtp/239.200.201.136:8140
延边卫视,http://36.49.51.207:8800/rtp/239.37.0.116:5540
数字频道,#genre#
CHC家庭影院,http://118.78.196.227:55555/rtp/226.0.2.240:9820
CHC家庭影院,http://36.49.51.207:8800/rtp/239.37.0.188:5540
CHC家庭影院,http://106.59.2.169:55555/rtp/239.200.201.30:8140
CHC影迷电影,http://118.78.196.227:55555/rtp/226.0.2.93:8004
CHC影迷电影,http://36.49.51.207:8800/rtp/239.37.0.187:5540
CHC影迷电影,http://106.59.2.169:55555/rtp/239.200.201.34:8148
CHC动作电影,http://118.78.196.227:55555/rtp/226.0.2.94:8012
CHC动作电影,http://36.49.51.207:8800/rtp/239.37.0.186:5540
